,Question,option a,option b,option c,option d,Answer,Explanation,Tag,Difficulty
0,Why is gold used in the Gold-leaf electroscope?,Gold is easily available in nature,Gold is malleable,Gold is conducting in nature,Gold is cheap,B,Though gold is a costly metal it is used in electroscope because of the property malleability. This means very thin and light sheets can be formed from gold simply by hammering or rolling and hence the deflection of the light gold plates increases.,Physics,1
1,What happens to the plates of the apparatus if we measure alternating charge using a Gold-leaf oscilloscope?,It doesn’t diverge at all,It diverges momentarily,The plates give a proper divergence,The degree of divergence increases and decreases repeatedly,C,The divergence of the plates of the Gold-leaf oscilloscope depends only on the presence of a charge not on the quality of charge i.e. positive or negative. So if the charge changes from positive to negative and vice versa the degree of divergence of the plates remains the same.,Physics,2
2,Dr Gilbert tried to hold a brass rod by hand and induce static electricity in it by friction Why did he fail?,Static electricity is induced only on insulators while brass is conducting,The induced static charge flew through his hand and body to the ground,The static charge was not produced at all,It is not possible to induce static electricity by friction,B,The human body is a good conductor and hence the charge produced by friction flew through his body to the ground. We can tackle the problem simply by holding the brass rod with the help of some insulated holder.,Physics,3
3,Gold-leaf electroscope can be used _______,Only to detect the presence of charge,To detect the presence of charge as well as its nature (positive or negative,To measure the surface charge density,To measure current,B,If the apparatus is initially in contact with some positively charged body and then comes in contact with another charged body and if the divergence increases we can deduce that the second body is also positively charged. If the divergence decreases then the second body must be negatively charged.,Physics,4
4,Two equally charged spheres attract each other Now if they touch each other then they will _____,Attract each other with the same amount of force,Repel each other,Attract each other with less amount of force,Don’t attract or repel,D,The two spheres are oppositely charged by the same amount. So if they come in contact both of their charges are neutralized. So they become uncharged and don’t attract or repel each other.,Physics,5
5,Current carrier in conductors is ____,Electron,Proton,Neutron,Positron,A,Conductors have lots of free electrons that can carry electricity if the potential difference is applied across them. Protons are positively charged particle and Neutron are electrically neutral. They don’t carry electricity in conductors.,Physics,6
6,Which group among the following is insulator?,Silver copper gold,Paper glass cotton,The human body wood iron,Glass copper paper,B,Glass paper and cotton are good quality insulators. The rest options contain one or more conducting materials. Silver is the best conductor material available in nature. But it is costly so it can’t be used in the electricity distribution system.,Physics,7
7,The band gap between the valence band and conduction band is the measure of ______,The conductivity of the material,The resistivity of the material,Charge density,Ease of ionization,A,The more the band gap between the valence band and conduction band the worse is the conductivity of the material. For conductors there are overlapping bands. So conductors can carry electricity. But there is a huge energy gap in the case of insulators. So they don’t carry electricity at all.,Physics,8
8,The rubber used in the wheels of aero-plane is _________,Perfect insulator,Slightly conducting,Can be an insulator or conducting,Semiconductor,B,Due to high friction during takeoff a huge amount of charge is produced on the rubber of the wheel of a plane. This charge must be sent to the ground. So the rubber used is slightly conducting else the huge charge produced may produce a spark and can cause an accident.,Physics,9
9,Insulation breakdown may occur at _______,High temperature,Low temperature,At any temperature,Depends on pressure,A,At high temperatures electrons of insulators get excited and then the electrons can overcome the large energy band gaps between valence and conduction bands. So a large number of electrons travel to the conduction band and they act as conductor i.e. insulation breakdown occurs.,Physics,10
10,Superconductors have __________,Almost zero resistivity,Very high resistivity,Temperature-dependent resistivity,Moderate value of resistivity,A,Semiconductors are those which carry current with almost zero resistivity at a very low temperature (example Lead at -272-degree centigrade). So they have a very huge amount of current flow through them.,Physics,11
11,If a positively charged sphere is taken close to another uncharged sphere then which of the following statements is true?,Induction and attraction occur simultaneously,Induction occurs before the attraction,Attraction occurs before induction,Attraction or repulsion may occur,B,If two bodies are taken close to each other a positively charged body induces a negative charge on another body and then they attract each other. So induction occurs before attraction. This phenomenon is also true for magnetic induction.,Physics,12
12,Induction occurs due to ______,Movement of electron,Leakage of charge,Ionization of atoms,Uniform charge distribution,A,When a positive or negative charged body comes close to another body the electrons of the second body redistribute themselves. Electrons of the second body are attracted by the positively charged body and repelled by the negatively charged body.,Physics,13
13,A charge is being induced to a sphere with the help of another charged sphere The extent of induction increase if ____________,The distance between the sphere increases,The distance between the sphere decreases,The two spheres are kept in contact with each other,Remains same irrespective of the distance between the spheres,D,The extent of induction increases if both the spheres are kept close to each other because the more electrons in the uncharged sphere are attracted or repelled by the charged sphere so the extent of induction increases.,Physics,14
14,+q +2q +3q +4q ……(up to +20q) charges are situated at coordinates (00)  (10) (20)  … (Up to 20) What is the total charge stored in the system?,+20q,+210q,+420q,+190q,B,As charge is additive total charge will be (1+2+3+4+…. +20)*q=\(\frac{20*21}{2}\)*q= 210q. But if the polarities of the charges are different i.e. some of them are positive and some are negative then the result will be different. We have to add separately the positive charges and the negative charges.,Physics,15
15,A charged conductor has its charge only on its outer surface This statement is true for which of the following?,For all conductors,Only for spherical conductors,For hollow conductors,For those conductors which don’t have sharp edges,A,Charge remains on the outer surface of a conductor irrespective of the shape and size of the conductor and also for hollow and solid conductors both. But if there is a sharp edge in the conductor surface charge density will be more at that point. The surface charge density is uniform in the case of a sphere.,Physics,16
16,Which one of the following is a safe place during lightning?,Under a tree,Under a light post,House with lightning arrester,High wall,C,Lightning arrester arrests lightning and allows a safe path of electricity to ground. Thus it is a safe place inside a house that has a lightning arrester on the top of it. Else electricity finds a high tower or tree or wall and travels through them to ground. Therefore these are not safe places to take shelter during lightning.,Physics,17
17,What should be the shape of a conductor that can hold a charge for long?,Cubical,Conical,Sharp-edged,Spherical,D,Sphere has uniform charge distribution over its entire surface. It doesn’t have any sharp edges hence very little chance of charge accumulation at those edges and hence very little chance of discharge of stored charge.,Physics,18
18,A lightning arrester must have the following property,Discontinuity,Poor conductivity,Needle end,Low melting point,C,Needle end can arrest the lightning easily. Besides the device must provide a continuous path to electricity so that current passes to ground. It must have a high melting point else it will meltdown due to the heat generated during carrying lightning current.,Physics,19
19,Earth is the source of __________,An infinite positive and negative charge,Positive charge,Negative charge,Zero charge,A,Earth can be considered as an infinite source of positive and negative charges. This can be justified by the fact that if we connect any positive or negatively charged body to the ground all of its charges will go to earth.,Physics,20
20,Which one is not the property of charge?,Charge is additive,Charge is conserved,Quantization of charge,A charge is self-destructive,D,Electric charge possesses the properties of quantization conservation of charge. It cannot be destroyed i.e. it is not self-destructive.,Physics,21
21,Coulomb’s Law is valid for ______,Only point charge,For both point charge and distributed charge,Only distributed charges,Neither distributed nor point charge,A,Coulomb’s Law explains the force between two point charges only. A distributed charge can be considered as the sum of infinite point charges and thus the force between two distributed charge systems can be explained.,Physics,22
22,Which one of the following is similar between electrostatic force and gravitational force?,Force can be attractive or repulsive,The force depends on the medium between the bodies,Both the forces are strong forces,Force is inversely proportional to the distance between the bodies,D,Gravitational force cannot be repulsive and it is a very weak force. Gravitational force does not depend on the medium. But both the forces are inversely proportional to the distance between them.,Physics,23
23,Let B be the midpoint of AC Two point charges Q are placed at A and C What should be the value of charge placed at B so that the system remains at equilibrium?,–Q/2,–Q/4,+Q/2,+Q/4,B,,Physics,24
24,If the force between two charges is 9N what will be the force if the distance between them is doubled and both the charges are increased to √2 times?,9N,4.5N,3N,3.75N,B,The force will be 9*\(\frac {\sqrt2*\sqrt2}{2^2}\) N=4.5N because the force is proportional to the product of the two charges and inversely proportional to the square of the distance between them. Similarly if the charges are the same but the distance is doubled the force between them will be \(\frac {1}{4}\) times the previous value.,Physics,25
25,Two negative charges are kept at a certain distance in the air medium What will happen if a dielectric slab is inserted between them?,The slab will get heated,Current will flow through the slab,Two charges will attract each other,The net force between the charges will be reduced,D,Force between two charges is inversely proportional to the relative permittivity of the medium between them. A dielectric slab has relative permittivity more than that of air. So the force between the charges decreases. No current or heating will be noticed.,Physics,26
26,What is the CGS unit of charge?,Stat Coulomb,Coulomb,EMU,Pascal,A,The C.G.S. unit of charge is Stat Coulomb or ESU but in the SI system the unit is Coulomb. EMU is another unit of charge in the SI system. Pascal is the unit of pressure.,Physics,27
27,Three equal positive charges are kept at the corners of an equilateral triangle What will be the vector sum of the forces acting on the particles?,Directed towards the center,Directed radially outside,Acts along one of the sides of the triangle,Zero,D,The magnitude of the force acting on each of the charges will be the same and they will differ from each other by 120 degrees. Therefore their resultant force will always be zero.,Physics,28
