Question,A,B,C,D,Answer,Explanation,Topic
Why is gold used in the Gold-leaf electroscope?,Gold is easily available in nature,Gold is malleable,Gold is conducting in nature,Gold is cheap,B,Though gold is a costly metal it is used in electroscope because of the property malleability. This means very thin and light sheets can be formed from gold simply by hammering or rolling and hence the deflection of the light gold plates increases.,Physics
What happens to the plates of the apparatus if we measure alternating charge using a Gold-leaf oscilloscope?,It doesn’t diverge at all,It diverges momentarily,The plates give a proper divergence,The degree of divergence increases and decreases repeatedly,C,"The divergence of the plates of the Gold-leaf oscilloscope depends only on the presence of a charge, not on the quality of charge i.e. positive or negative. So, if the charge changes from positive to negative and vice versa the degree of divergence of the plates remains the same.",Physics
Dr Gilbert tried to hold a brass rod by hand and induce static electricity in it by friction Why did he fail?,Static electricity is induced only on insulators while brass is conducting,The induced static charge flew through his hand and body to the ground,The static charge was not produced at all,It is not possible to induce static electricity by friction,B,The human body is a good conductor and hence the charge produced by friction flew through his body to the ground. We can tackle the problem simply by holding the brass rod with the help of some insulated holder.,Physics
Gold-leaf electroscope can be used _______,Only to detect the presence of charge,To detect the presence of charge as well as its nature (positive or negative,To measure the surface charge density,To measure current,B,If the apparatus is initially in contact with some positively charged body and then comes in contact with another charged body and if the divergence increases we can deduce that the second body is also positively charged. If the divergence decreases then the second body must be negatively charged.,Physics
Two equally charged spheres attract each other Now if they touch each other then they will _____,Attract each other with the same amount of force,Repel each other,Attract each other with less amount of force,Don’t attract or repel,D,"The two spheres are oppositely charged by the same amount. So if they come in contact, both of their charges are neutralized. So they become uncharged and don’t attract or repel each other.",Physics
Current carrier in conductors is ____,Electron,Proton,Neutron,Positron,A,Conductors have lots of free electrons that can carry electricity if the potential difference is applied across them. Protons are positively charged particle and Neutron are electrically neutral. They don’t carry electricity in conductors.,Physics
Which group among the following is insulator?,"Silver, copper, gold","Paper, glass, cotton","The human body, wood, iron","Glass, copper, paper",B,"Glass, paper, and cotton are good quality insulators. The rest options contain one or more conducting materials. Silver is the best conductor material available in nature. But it is costly, so it can’t be used in the electricity distribution system.",Physics
The band gap between the valence band and conduction band is the measure of ______,The conductivity of the material,The resistivity of the material,Charge density,Ease of ionization,A,"The more the band gap between the valence band and conduction band, the worse is the conductivity of the material. For conductors, there are overlapping bands. So, conductors can carry electricity. But there is a huge energy gap in the case of insulators. So, they don’t carry electricity at all.",Physics
The rubber used in the wheels of aero-plane is _________,Perfect insulator,Slightly conducting,Can be an insulator or conducting,Semiconductor,B,"Due to high friction during takeoff, a huge amount of charge is produced on the rubber of the wheel of a plane. This charge must be sent to the ground. So, the rubber used is slightly conducting, else the huge charge produced may produce a spark and can cause an accident.",Physics
Insulation breakdown may occur at _______,High temperature,Low temperature,At any temperature,Depends on pressure,A,"At high temperatures, electrons of insulators get excited and then the electrons can overcome the large energy band gaps between valence and conduction bands. So a large number of electrons travel to the conduction band and they act as conductor i.e. insulation breakdown occurs.",Physics
Superconductors have __________,Almost zero resistivity,Very high resistivity,Temperature-dependent resistivity,Moderate value of resistivity,A,"Semiconductors are those which carry current with almost zero resistivity at a very low temperature (example Lead at -272-degree centigrade). So, they have a very huge amount of current flow through them.",Physics
If a positively charged sphere is taken close to another uncharged sphere then which of the following statements is true?,Induction and attraction occur simultaneously,Induction occurs before the attraction,Attraction occurs before induction,Attraction or repulsion may occur,B,"If two bodies are taken close to each other, a positively charged body induces a negative charge on another body and then they attract each other. So, induction occurs before attraction. This phenomenon is also true for magnetic induction.",Physics
Induction occurs due to ______,Movement of electron,Leakage of charge,Ionization of atoms,Uniform charge distribution,A,"When a positive or negative charged body comes close to another body, the electrons of the second body redistribute themselves. Electrons of the second body are attracted by the positively charged body and repelled by the negatively charged body.",Physics
A charge is being induced to a sphere with the help of another charged sphere The extent of induction increase if ____________,The distance between the sphere increases,The distance between the sphere decreases,The two spheres are kept in contact with each other,Remains same irrespective of the distance between the spheres,D,"The extent of induction increases if both the spheres are kept close to each other because the more electrons in the uncharged sphere are attracted or repelled by the charged sphere, so the extent of induction increases.",Physics
"+q, +2q, +3q, +4q, ……(up to +20q) charges are situated at coordinates (0,0) , (1,0) ,(2,0) , … (Up to 20) What is the total charge stored in the system?",+20q,+210q,+420q,+190q,B,"As charge is additive, total charge will be (1+2+3+4+…. +20)*q=\(\frac{20*21}{2}\)*q= 210q. But if the polarities of the charges are different i.e. some of them are positive and some are negative, then the result will be different. We have to add separately the positive charges and the negative charges.",Physics
A charged conductor has its charge only on its outer surface This statement is true for which of the following?,For all conductors,Only for spherical conductors,For hollow conductors,For those conductors which don’t have sharp edges,A,"Charge remains on the outer surface of a conductor, irrespective of the shape and size of the conductor and also for hollow and solid conductors both. But if there is a sharp edge in the conductor, surface charge density will be more at that point. The surface charge density is uniform in the case of a sphere.",Physics
Which one of the following is a safe place during lightning?,Under a tree,Under a light post,House with lightning arrester,High wall,C,"Lightning arrester arrests lightning and allows a safe path of electricity to ground. Thus it is a safe place inside a house that has a lightning arrester on the top of it. Else, electricity finds a high tower or tree or wall and travels through them to ground. Therefore these are not safe places to take shelter during lightning.",Physics
What should be the shape of a conductor that can hold a charge for long?,Cubical,Conical,Sharp-edged,Spherical,D,Sphere has uniform charge distribution over its entire surface. It doesn’t have any sharp edges hence very little chance of charge accumulation at those edges and hence very little chance of discharge of stored charge.,Physics
A lightning arrester must have the following property,Discontinuity,Poor conductivity,Needle end,Low melting point,C,"Needle end can arrest the lightning easily. Besides, the device must provide a continuous path to electricity so that current passes to ground. It must have a high melting point else it will meltdown due to the heat generated during carrying lightning current.",Physics
